id,prix
4120004,/1;1129/2;1329/6;1375
4130001,/1;1129/2;1329/6;1375
4130002,/1;1129/2;1329/6;1375
4130003,/1;1129/2;1329/6;1375
4130004,/1;1154/5;1354/6;1454
4130005,/1;1154/5;1354/6;1454
4140001,/1;1059/2;1319/6;1339
4160001,/1;1059/2;1319/6;1339
4160002,/1;1159/2;1419
4160003,/1;1019/2;1299/6;1335
4160004,/1;1012/4;759/5;1199/6;1309
4170001,/1;1012/4;759/5;1199/6;1309
4170002,/1;1280/2;1500/3;1000/6;1550
4170003,/1;1049/5;1249
4190001,/1;1049/2;1319/6;1339
4200001,/1;1049/2;1319/6;1339
4200003,/1;1009/4;779/5;1199/6;1299
4200006,/1;1164/4;797/5;1354/6;1444
4200007,/1;1099/2;1369/6;1389
4200008,/1;1092/5;1305/6;1405
4204001,/1;989/2;1259/5;1189/6;1299
4210001,/1;989/2;1259/5;1189/6;1299
4210002,/1;989/2;1259/5;1189/6;1299
4210003,/1;1120/2;1370/6;1380
4210004,/1;1049/2;1309
4240002,/1;1039/2;1299
4260002,/1;1260/2;1430/6;1450
4300001,/1;1020/2;1279/6;1319
4300002,/1;1010/5;1245/6;1305
4300003,/1;1010/5;1245/6;1305
4320001,/1;1009/2;1340/6;1390
4330004,/1;1020/2;1310/6;1060
4360001,/1;1200/2;1420
4370001,/1;1440/2;1630
4400001,/1;1100/5;1350/6;1450
4400002,/1;1070/2;1350
4400003,/1;1075/2;1337/6;1372
4400004,/1;1075/2;1337/4;835/6;1372
4500001,/1;1260/2;1430/6;1480
4500002,/1;1260/2;1430/6;1480
4500003,/1;1026/2;1304/6;1329
4510003,/1;1060/2;1310/6;1370
4600001,/1;1055/2;1339/6;1375
4700001,/1;1055/2;1339/6;1375
4700002,/1;1029/2;1299/6;1339
4700003,/1;1005/2;1269/6;1299
4700004,/1;1075/5;1264/6;1364
4800001,/1;1115/5;1294/6;1394
5000001,/1;999/2;1249/4;776/6;1289
5000003,/1;999/2;1249/4;776/6;1289
5000005,/1;999/2;1249/6;1289
5000006,/1;1009/2;1269/5;1219/6;1299
5000008,/1;999/2;1288/6;1318
5000010,/1;1019/5;1238/6;1308
5000011,/1;1019/5;1238/6;1308
5000014,/1;1019/5;1238/6;1308
5000017,/1;1100/4;769/5;1317/6;1417
5000018,/1;1100/5;1317/6;1417
5100001,/1;1189/2;1419/6;1449
5100004,/1;1019/2;1289/6;1307
5100005,/1;1019/2;1289/6;1307
5100007,/1;1019/2;1289/6;1307
5100008,/1;1032/4;759/5;1272/6;1344
5120002,/1;999/2;1279
5130001,/1;999/2;1279
5130002,/1;999/3;798/5;1229/6;1299
5130003,/1;1019/2;1289/3;759/6;1319
5160001,/1;1028/2;1288/6;1318
5190001,/1;999/2;1269/3;759/4;776/5;1227
5200001,/1;999/2;1289/3;699/5;1227/6;1307
5200004,/1;999/5;1227/6;1307
5200005,/4;790
5200006,/4;790
5200007,/1;1079/2;1349/6;1367
5200008,/1;1103/5;1319/6;1419
5230003,/1;1009/5;1227/6;1307
5230004,/1;1080/2;1360
5230006,/1;1080/2;1360
5230007,/1;1012/5;1229/6;1309
5240001,/1;1109/5;1339/6;1379
5240002,/1;1105/2;1339/6;1365
5260001,/1;1149/5;1359/6;1419
5300001,/1;1113/5;1303/6;1403
5300002,/1;1035/2;1265/5;1255/6;1315
5300003,/1;1029/5;1239/6;1319
5300004,/1;1124/2;1365
5350001,/1;1170/2;1430/6;1470
5400001,/1;1170/2;1410
5400002,/1;1059/2;1319/5;1279/6;1356
5500001,/1;1012/2;1299/5;1249
5560001,/1;1049/2;1319/6;1349
5600002,/1;1029/2;1299/6;1329
5600004,/1;1029/2;1299/6;1329
5600005,/1;1049/2;1319/5;1269/6;1349
5600006,/1;1049/2;1319/6;1329
5700001,/1;1059/2;1319/5;1279
5700002,/1;1119/2;1339/6;1369
6000001,/1;1119/2;1339/6;1369
6000006,/1;1089/5;1289
6000007,/1;1079/2;1299/6;1369
6000009,/1;1089/2;1309/6;1379
6000010,/1;1089/2;1309/6;1379
6000011,/1;1089/2;1309/6;1379
6000012,/1;1089/2;1309/6;1379
6000015,/1;1089/2;1309/6;1379
6000018,/1;1089/2;1309/6;1379
6000021,/1;1089/2;1309/6;1379
6000022,/1;1089/2;1309/6;1379
6000025,/1;1109/5;1299
6000026,/1;1139/3;759/4;769/5;1279/6;1379
6000027,/1;1108/5;1316/6;1416
6000028,/1;1098/5;1306/6;1406
6000029,/1;1009/5;1212/6;1299
6000030,/1;1089/5;1289
6100003,/1;1089/5;1289
6100004,/1;1089/5;1289
6100005,/1;1110/5;1299/6;1359
6110001,/1;1110/5;1299/6;1359
6110002,/1;1115/2;1279/6;1374
6110004,/1;1003/5;1197/6;1291
6110005,/1;1009/5;1205/6;1300
6110006,/1;997/2;1250/5;1184/6;1285
6110007,/1;997/2;1250/5;1184/6;1285
6110008,/1;1119/2;1339/3;790/5;1329/6;1386
6110009,/1;999/5;1229/6;1313
6130001,/1;998/2;1254/4;649/6;1279
6130002,/1;1074/5;1302/6;1402
6130003,/1;1074/5;1302/6;1402
6130005,/1;1069/5;1289
6130006,/1;1059/5;1284
6130007,/1;997/2;1253/6;1278
6130008,/1;1002/5;1233/6;1287
6130009,/1;1059/5;1284
6140001,/1;1059/5;1284
6140004,/1;1098/4;769/5;1316/6;1416
6140005,/1;1039/5;1287/6;1375
6150003,/1;1039/5;1287/6;1375
6150004,/1;1002/3;759/5;1232/6;1313
6150005,/1;1095/2;1300/5;1269/6;1399
6150006,/1;1095/2;1300/5;1269/6;1399
6150007,/1;994/2;1248/6;1317
6150008,/1;1002/3;759/5;1232/6;1313
6150009,/1;1099/5;1289/6;1379
6156001,/1;997/2;1251/4;859/6;1316
6160007,/1;1099/2;1339/6;1379
6190004,/1;1109/5;1309/6;1399
6190006,/1;1109/5;1309/6;1399
6190007,/1;1109/5;1309/6;1399
6190008,/1;1059/5;1308/6;1382
6190009,/1;1100/5;1330/6;1420
6200002,/1;1100/5;1330/6;1420
6200005,/1;1100/5;1330/6;1420
6200006,/1;1089/5;1289
6200007,/1;1089/5;1289
6200008,/1;1089/5;1289
6200009,/1;1089/5;1289
6200012,/1;1089/5;1289
6200014,/1;992/5;1207/6;1289
6200017,/1;992/5;1207/6;1289
6200018,/1;992/5;1207/6;1289
6200019,/1;992/5;1207/6;1289
6200021,/1;992/5;1207/6;1289
6200022,/1;1099/5;1299/6;1379
6200024,/1;1099/5;1299/6;1379
6200025,/1;1079/3;849/4;744/5;1304
6200026,/1;1014/5;1229/6;1309
6200027,/1;994/5;1185/6;1278
6200028,/1;1012/4;694/5;1225/6;1309
6200029,/1;1069/5;1279
6201001,/1;994/2;1247/4;599/5;1186/6;1277
6201002,/1;988/2;1238/4;695/5;1183/6;1275
6210001,/1;988/2;1238/4;695/5;1183/6;1275
6210009,/1;1029/3;899/5;1299
6211001,/1;997/2;1251/4;805/6;1316
6220001,/1;997/2;1251/4;805/6;1316
6220003,/1;1065/2;1325/6;1355
6220004,/1;1065/2;1325/6;1355
6220005,/1;1097/5;1324/6;1424
6230001,/1;1097/5;1324/6;1424
6230002,/1;1007/5;1217/6;1304
6230003,/1;1120/5;1330/6;1430
6240003,/1;1144/4;797/5;1364/6;1454
6240004,/1;1154/2;1410/6;1440
6250001,/1;997/2;1251/6;1288
6250003,/1;997/2;1251/6;1288
6250004,/1;1159/5;1375/6;1427
6250005,/1;1069/5;1289
6250006,/1;1159/4;910/5;1369/6;1449
6250008,/1;1159/4;910/5;1369/6;1449
